SampleID	Population	Superpopulation
HG01710	IBS	EUR
HG02069	KHV	EAS
HG00259	GBR	EUR
HG01746	IBS	EUR
HG02071	KHV	EAS
HG00261	GBR	EUR
HG01765	IBS	EUR
HG02076	KHV	EAS
HG00266	FIN	EUR
HG01791	GBR	EUR
HG02040	KHV	EAS
HG00273	FIN	EUR
HG01796	CDX	EAS
HG02052	ACB	AFR
HG00278	FIN	EUR
HG01804	CDX	EAS
HG02057	KHV	EAS
HG00379	FIN	EUR
HG01809	CDX	EAS
HG01840	KHV	EAS
HG00381	FIN	EUR
HG01811	CDX	EAS
HG01845	KHV	EAS
HG00406	CHS	EAS
HG01950	PEL	AMR
HG01852	KHV	EAS
HG00418	CHS	EAS
HG01955	PEL	AMR
HG01857	KHV	EAS
HG00420	CHS	EAS
HG01967	PEL	AMR
HG02083	KHV	EAS
HG00437	CHS	EAS
HG01974	PEL	AMR
HG02088	KHV	EAS
HG00444	CHS	EAS
HG01936	PEL	AMR
HG02090	PEL	AMR
HG00449	CHS	EAS
HG01943	PEL	AMR
HG02095	ACB	AFR
HG00451	CHS	EAS
HG01948	PEL	AMR
HG02108	ACB	AFR
HG00463	CHS	EAS
HG01816	CDX	EAS
HG02273	PEL	AMR
HG00475	CHS	EAS
HG01842	KHV	EAS
HG02278	PEL	AMR
HG00280	FIN	EUR
HG01847	KHV	EAS
HG02280	ACB	AFR
HG00285	FIN	EUR
HG01859	KHV	EAS
HG02285	PEL	AMR
HG00312	FIN	EUR
HG01861	KHV	EAS
HG02292	PEL	AMR
HG00324	FIN	EUR
HG02004	PEL	AMR
HG02300	PEL	AMR
HG00329	FIN	EUR
HG02009	ACB	AFR
HG02122	KHV	EAS
HG00331	FIN	EUR
HG02011	ACB	AFR
HG02127	KHV	EAS
HG00336	FIN	EUR
HG02016	KHV	EAS
HG02134	KHV	EAS
HG00343	FIN	EUR
HG02023	KHV	EAS
HG02139	KHV	EAS
HG00350	FIN	EUR
HG02028	KHV	EAS
HG02141	KHV	EAS
HG00355	FIN	EUR
HG02030	KHV	EAS
HG02146	PEL	AMR
HG00362	FIN	EUR
HG02035	KHV	EAS
HG02235	IBS	EUR
HG00367	FIN	EUR
HG02047	KHV	EAS
HG00103	GBR	EUR
HG02054	ACB	AFR
HG02259	PEL	AMR
HG00108	GBR	EUR
HG02059	KHV	EAS
HG02261	PEL	AMR
HG00110	GBR	EUR
HG02061	KHV	EAS
HG02266	PEL	AMR
HG00115	GBR	EUR
HG02073	KHV	EAS
HG02343	ACB	AFR
HG00122	GBR	EUR
HG02078	KHV	EAS
HG02348	PEL	AMR
HG00127	GBR	EUR
HG02080	KHV	EAS
HG02355	CDX	EAS
HG02275	PEL	AMR
HG02367	CDX	EAS
HG02282	ACB	AFR
HG02374	CDX	EAS
HG02287	PEL	AMR
HG02379	CDX	EAS
HG02299	PEL	AMR
HG02184	CDX	EAS
HG02302	PEL	AMR
HG02189	CDX	EAS
HG02307	ACB	AFR
HG02223	IBS	EUR
HG02314	ACB	AFR
HG02230	IBS	EUR
HG02321	ACB	AFR
HG02381	CDX	EAS
HG00502	CHS	EAS
HG02181	CDX	EAS
HG02386	CDX	EAS
HG00514	CHS	EAS
HG02186	CDX	EAS
HG02398	CDX	EAS
HG00526	CHS	EAS
HG02401	CDX	EAS
HG00533	CHS	EAS
HG02220	IBS	EUR
HG02406	CDX	EAS
HG00538	CHS	EAS
HG02225	IBS	EUR
HG02312	PEL	AMR
HG00552	PUR	AMR
HG02148	PEL	AMR
HG02317	ACB	AFR
HG00557	CHS	EAS
HG02150	PEL	AMR
HG02153	CDX	EAS
HG00583	CHS	EAS
HG02155	CDX	EAS
HG02165	CDX	EAS
HG00590	CHS	EAS
HG02179	CDX	EAS
HG02603	PJL	SAS
HG00639	PUR	AMR
HG02129	KHV	EAS
HG02610	GWD	AFR
HG00641	PUR	AMR
HG02131	KHV	EAS
HG00653	CHS	EAS
HG02136	KHV	EAS
HG00658	CHS	EAS
HG02143	ACB	AFR
HG02634	GWD	AFR
HG00672	CHS	EAS
HG02232	IBS	EUR
HG02646	GWD	AFR
HG00684	CHS	EAS
HG02237	IBS	EUR
HG00689	CHS	EAS
HG02256	ACB	AFR
HG02735	PJL	SAS
HG00691	CHS	EAS
HG02345	PEL	AMR
HG02759	GWD	AFR
HG00704	CHS	EAS
HG02364	CDX	EAS
HG00709	CHS	EAS
HG02371	CDX	EAS
HG00716	CHS	EAS
HG02085	KHV	EAS
HG02778	PJL	SAS
HG01029	CDX	EAS
HG02105	PEL	AMR
HG02780	PJL	SAS
HG01031	CDX	EAS
HG02600	PJL	SAS
HG02785	PJL	SAS
HG01048	PUR	AMR
HG02605	PJL	SAS
HG02691	PJL	SAS
HG01050	PUR	AMR
HG02696	PJL	SAS
HG01055	PUR	AMR
HG02624	GWD	AFR
HG01062	PUR	AMR
HG02629	GWD	AFR
HG02716	GWD	AFR
HG01067	PUR	AMR
HG01074	PUR	AMR
HG02643	GWD	AFR
HG02728	PJL	SAS
HG01079	PUR	AMR
HG02648	PJL	SAS
HG02557	ACB	AFR
HG01081	PUR	AMR
HG01086	PUR	AMR
HG02554	ACB	AFR
HG02571	GWD	AFR
HG00728	CHS	EAS
HG02583	GWD	AFR
HG02561	GWD	AFR
HG02588	GWD	AFR
HG00735	PUR	AMR
HG02573	GWD	AFR
HG00742	PUR	AMR
HG02580	ACB	AFR
HG02595	GWD	AFR
HG00759	CDX	EAS
HG02585	GWD	AFR
HG02792	PJL	SAS
HG00766	CDX	EAS
HG02597	PJL	SAS
HG00867	CDX	EAS
HG02655	PJL	SAS
HG02805	GWD	AFR
HG00879	CDX	EAS
HG02662	PJL	SAS
HG00881	CDX	EAS
HG02667	GWD	AFR
HG02817	GWD	AFR
HG00956	CDX	EAS
HG02679	GWD	AFR
HG02836	GWD	AFR
HG00982	CDX	EAS
HG02681	PJL	SAS
HG02420	ACB	AFR
HG02686	PJL	SAS
HG02425	PEL	AMR
HG02465	GWD	AFR
HG02449	ACB	AFR
HG01334	GBR	EUR
HG02477	ACB	AFR
HG02451	ACB	AFR
HG01341	CLM	AMR
HG02484	ACB	AFR
HG01346	CLM	AMR
HG02489	ACB	AFR
HG02658	PJL	SAS
HG01353	CLM	AMR
HG02491	PJL	SAS
HG02660	PJL	SAS
HG01358	CLM	AMR
HG02737	PJL	SAS
HG01360	CLM	AMR
HG02756	GWD	AFR
HG02684	PJL	SAS
HG01365	CLM	AMR
HG02763	GWD	AFR
HG02689	PJL	SAS
HG01149	CLM	AMR
HG02768	GWD	AFR
HG02502	ACB	AFR
HG01168	PUR	AMR
HG02514	KHV	EAS
HG01170	PUR	AMR
HG02775	PJL	SAS
HG02521	KHV	EAS
HG01175	PUR	AMR
HG02408	CDX	EAS
HG01182	PUR	AMR
HG02410	CDX	EAS
HG02545	ACB	AFR
HG01187	PUR	AMR
HG02470	ACB	AFR
HG01199	PUR	AMR
HG02427	ACB	AFR
HG02494	PJL	SAS
HG01252	CLM	AMR
HG02439	ACB	AFR
HG02855	GWD	AFR
HG00595	CHS	EAS
HG02496	ACB	AFR
HG00608	CHS	EAS
HG02511	ACB	AFR
HG02879	GWD	AFR
HG00610	CHS	EAS
HG02523	KHV	EAS
HG02881	GWD	AFR
HG00615	CHS	EAS
HG00622	CHS	EAS
HG02383	CDX	EAS
HG02944	ESN	AFR
HG00627	CHS	EAS
HG02388	CDX	EAS
HG02982	GWD	AFR
HG00634	CHS	EAS
HG02390	CDX	EAS
HG03012	BEB	SAS
HG01098	PUR	AMR
HG02395	CDX	EAS
HG01101	PUR	AMR
HG02698	PJL	SAS
HG03024	GWD	AFR
HG01106	PUR	AMR
HG01113	CLM	AMR
HG02725	PJL	SAS
HG03048	GWD	AFR
HG01125	CLM	AMR
HG01137	CLM	AMR
HG03007	BEB	SAS
HG03055	MSL	AFR
HG01257	CLM	AMR
HG03019	PJL	SAS
HG01269	CLM	AMR
HG03021	PJL	SAS
HG03238	PJL	SAS
HG01271	CLM	AMR
HG03240	GWD	AFR
HG01276	CLM	AMR
HG03074	MSL	AFR
HG01303	PUR	AMR
HG03040	GWD	AFR
HG03079	MSL	AFR
HG01308	PUR	AMR
HG03045	GWD	AFR
HG03081	MSL	AFR
HG01531	IBS	EUR
HG02840	GWD	AFR
HG03086	MSL	AFR
HG01536	IBS	EUR
HG02852	GWD	AFR
HG01550	CLM	AMR
HG01567	PEL	AMR
HG03168	ESN	AFR
HG01579	PEL	AMR
HG01586	PJL	SAS
HG02888	GWD	AFR
HG03175	ESN	AFR
HG01593	PJL	SAS
HG02890	GWD	AFR
HG01372	CLM	AMR
HG02895	GWD	AFR
HG03199	ESN	AFR
HG01377	CLM	AMR
HG02922	ESN	AFR
HG03202	ESN	AFR
HG01384	CLM	AMR
HG01389	CLM	AMR
HG02941	ESN	AFR
HG03118	ESN	AFR
HG01391	CLM	AMR
HG02787	PJL	SAS
HG03120	ESN	AFR
HG01396	PUR	AMR
HG02799	GWD	AFR
HG03132	ESN	AFR
HG02807	GWD	AFR
HG01435	CLM	AMR
HG02814	GWD	AFR
HG03163	ESN	AFR
HG01442	CLM	AMR
HG02819	GWD	AFR
HG02968	ESN	AFR
HG01447	CLM	AMR
HG02970	ESN	AFR
HG01459	CLM	AMR
HG03172	ESN	AFR
HG03478	MSL	AFR
HG01461	CLM	AMR
HG03189	ESN	AFR
HG01466	CLM	AMR
HG03485	MSL	AFR
HG01505	IBS	EUR
HG03196	ESN	AFR
HG03492	PJL	SAS
HG01512	IBS	EUR
HG03209	MSL	AFR
HG03606	BEB	SAS
HG01517	IBS	EUR
HG03228	PJL	SAS
HG01524	IBS	EUR
HG02946	ESN	AFR
HG01529	IBS	EUR
HG02953	ESN	AFR
HG03625	PJL	SAS
HG01485	CLM	AMR
HG02977	ESN	AFR
HG03461	MSL	AFR
HG01492	CLM	AMR
HG03052	MSL	AFR
HG01497	CLM	AMR
HG03057	MSL	AFR
HG03473	MSL	AFR
HG01500	IBS	EUR
HG03064	MSL	AFR
HG03517	ESN	AFR
HG01618	IBS	EUR
HG03069	MSL	AFR
HG03548	MSL	AFR
HG01620	IBS	EUR
HG03076	MSL	AFR
HG03567	MSL	AFR
HG01625	IBS	EUR
HG03088	MSL	AFR
HG01632	IBS	EUR
HG03095	MSL	AFR
HG01668	IBS	EUR
HG03103	ESN	AFR
HG03372	ESN	AFR
HG01670	IBS	EUR
HG03108	ESN	AFR
HG01675	IBS	EUR
HG03391	MSL	AFR
HG01598	KHV	EAS
HG03115	ESN	AFR
HG01601	IBS	EUR
HG03271	ESN	AFR
HG01606	IBS	EUR
HG03127	ESN	AFR
HG03295	ESN	AFR
HG01613	IBS	EUR
HG03303	ESN	AFR
HG01682	IBS	EUR
HG03139	ESN	AFR
HG01687	IBS	EUR
HG03593	BEB	SAS
HG01694	IBS	EUR
HG03160	ESN	AFR
HG03598	BEB	SAS
HG01699	IBS	EUR
HG03538	GWD	AFR
HG01702	IBS	EUR
HG03428	MSL	AFR
HG01707	IBS	EUR
HG03557	MSL	AFR
HG03442	MSL	AFR
HG01757	IBS	EUR
HG02003	PEL	AMR
HG03571	MSL	AFR
HG02008	PEL	AMR
HG02010	ACB	AFR
HG02015	KHV	EAS
HG03235	PJL	SAS
HG03702	PJL	SAS
HG02027	KHV	EAS
HG03247	GWD	AFR
HG03714	ITU	SAS
HG01771	IBS	EUR
HG03259	GWD	AFR
HG01776	IBS	EUR
HG01783	IBS,MSL	EUR,AFR
HG03644	STU	SAS
HG01790	GBR	EUR
HG03499	ESN	AFR
HG03649	PJL	SAS
HG01978	PEL	AMR
HG03514	ESN	AFR
HG01980	PEL	AMR
HG01985	ACB	AFR
HG03521	ESN	AFR
HG03663	PJL	SAS
HG01992	PEL	AMR
HG03583	MSL	AFR
HG03668	PJL	SAS
HG01997	PEL	AMR
HG01889	ACB	AFR
HG03595	BEB	SAS
HG03788	ITU	SAS
HG01891	ACB	AFR
HG03603	BEB	SAS
HG03790	ITU	SAS
HG01896	ACB	AFR
HG03615	BEB	SAS
HG01916	ACB	AFR
HG03803	BEB	SAS
HG01923	PEL	AMR
HG03757	STU	SAS
HG01841	KHV	EAS
HG01846	KHV	EAS
HG03771	ITU	SAS
HG01853	KHV	EAS
HG03401	MSL	AFR
HG01858	KHV	EAS
HG03846	STU	SAS
HG01860	KHV	EAS
HG03343	ESN	AFR
HG03858	STU	SAS
HG01954	PEL	AMR
HG03808	BEB	SAS
HG01959	ACB	AFR
HG03815	BEB	SAS
HG01961	PEL	AMR
HG03367	ESN	AFR
HG03822	BEB	SAS
HG01973	PEL	AMR
HG03432	MSL	AFR
HG01928	PEL	AMR
HG03437	MSL	AFR
HG03687	STU	SAS
HG01935	PEL	AMR
HG03449	MSL	AFR
HG03694	STU	SAS
HG01942	PEL	AMR
HG03451	MSL	AFR
HG03733	STU	SAS
HG01947	PEL	AMR
HG03280	ESN	AFR
HG03738	STU	SAS
HG01865	KHV	EAS
HG03297	ESN	AFR
HG03740	STU	SAS
HG01872	KHV	EAS
HG03300	ESN	AFR
HG03745	STU	SAS
HG01884	ACB	AFR
HG03752	STU	SAS
HG01795	CDX	EAS
HG03872	ITU	SAS
HG01808	CDX	EAS
HG03884	STU	SAS
HG01810	CDX	EAS
HG03470	MSL	AFR
HG01815	CDX	EAS
HG03812	BEB	SAS
HG04200	ITU	SAS
HG02084	KHV	EAS
HG03817	BEB	SAS
HG04212	ITU	SAS
HG02089	PEL	AMR
HG03824	BEB	SAS
HG02091	PEL	AMR
HG03829	BEB	SAS
HG03896	STU	SAS
HG02104	PEL	AMR
HG02111	ACB	AFR
HG03836	STU	SAS
HG02116	KHV	EAS
HG03911	BEB	SAS
HG02274	PEL	AMR
HG03709	PJL	SAS
HG03916	BEB	SAS
HG02279	PEL	AMR
HG03711	STU	SAS
HG02281	ACB	AFR
HG03716	ITU	SAS
HG04003	STU	SAS
HG02286	PEL	AMR
HG04015	ITU	SAS
HG02293	PEL	AMR
HG03730	ITU	SAS
HG04022	ITU	SAS
HG02298	PEL	AMR
HG03742	ITU	SAS
HG04161	BEB	SAS
HG02236	IBS	EUR
HG03754	STU	SAS
HG04173	BEB	SAS
HG02250	CDX	EAS
HG04180	BEB	SAS
HG02255	ACB	AFR
HG04185	BEB	SAS
HG02262	PEL	AMR
HG03773	ITU	SAS
HG03778	ITU	SAS
HG02147	PEL	AMR
HG03780	ITU	SAS
HG02154	CDX	EAS
HG03785	ITU	SAS
HG02166	CDX	EAS
HG03792	ITU	SAS
HG04159	BEB	SAS
HG03928	BEB	SAS
HG02178	CDX	EAS
HG03800	BEB	SAS
HG02180	CDX	EAS
HG03805	BEB	SAS
HG02185	CDX	EAS
HG03646	STU	SAS
HG04039	STU	SAS
HG03653	PJL	SAS
HG02224	IBS	EUR
HG03660	PJL	SAS
HG02229	IBS	EUR
HG03672	STU	SAS
HG04060	ITU	SAS
HG02231	IBS	EUR
HG03684	STU	SAS
HG03947	STU	SAS
HG02301	PEL	AMR
HG03689	STU	SAS
HG03973	ITU	SAS
HG02318	ACB	AFR
HG03691	STU	SAS
HG03978	ITU	SAS
HG02325	ACB	AFR
HG03696	STU	SAS
HG03985	STU	SAS
HG02332	ACB	AFR
HG03634	PJL	SAS
HG04096	ITU	SAS
HG02337	ACB	AFR
HG02046	KHV	EAS
NA18606	CHB	EAS
HG02053	ACB	AFR
HG03848	STU	SAS
NA18613	CHB	EAS
HG02058	KHV	EAS
HG03850	STU	SAS
NA18618	CHB	EAS
HG02060	KHV	EAS
HG03862	ITU	SAS
NA18620	CHB	EAS
HG02128	KHV	EAS
HG03867	ITU	SAS
NA18625	CHB	EAS
HG02130	KHV	EAS
NA18632	CHB	EAS
HG02135	KHV	EAS
NA18637	CHB	EAS
HG02142	KHV	EAS
NA18644	CHB	EAS
HG02072	KHV	EAS
HG04062	ITU	SAS
NA18740	CHB	EAS
HG02077	KHV	EAS
NA18745	CHB	EAS
HG02604	PJL	SAS
HG04093	ITU	SAS
NA18757	CHB	EAS
HG02611	GWD	AFR
HG04098	ITU	SAS
NA18795	CHB	EAS
HG02623	GWD	AFR
HG04106	STU	SAS
NA18853	YRI	AFR
HG02628	GWD	AFR
HG04118	ITU	SAS
NA18858	YRI	AFR
NA18860	YRI	AFR
HG02635	GWD	AFR
NA12766	CEU	EUR
HG02642	GWD	AFR
HG04182	BEB	SAS
NA12778	CEU	EUR
NA12812	CEU	EUR
HG02654	PJL	SAS
HG04194	BEB	SAS
NA12817	CEU	EUR
HG02659	PJL	SAS
NA12829	CEU	EUR
HG02661	PJL	SAS
HG03925	BEB	SAS
NA12843	CEU	EUR
HG02666	GWD	AFR
HG03937	BEB	SAS
NA12874	CEU	EUR
HG02678	GWD	AFR
HG03944	STU	SAS
NA18485	YRI	AFR
HG03949	STU	SAS
NA18497	YRI	AFR
HG02685	PJL	SAS
HG03999	STU	SAS
NA18500	YRI	AFR
HG04017	ITU	SAS
NA18505	YRI	AFR
HG02697	PJL	SAS
NA18517	YRI	AFR
HG02700	PJL	SAS
HG04029	STU	SAS
NA18531	CHB	EAS
HG03874	ITU	SAS
NA18536	CHB	EAS
HG02724	PJL	SAS
NA18543	CHB	EAS
HG02729	PJL	SAS
HG03886	STU	SAS
NA18548	CHB	EAS
HG02731	PJL	SAS
HG03898	STU	SAS
NA18550	CHB	EAS
HG02464	GWD	AFR
HG04144	BEB	SAS
NA18555	CHB	EAS
HG02471	ACB	AFR
NA18562	CHB	EAS
HG02476	ACB	AFR
NA18567	CHB	EAS
HG02490	PJL	SAS
HG04156	BEB	SAS
NA18574	CHB	EAS
NA18579	CHB	EAS
HG02558	ACB	AFR
NA18593	CHB	EAS
HG03913	BEB	SAS
NA12273	CEU	EUR
HG02577	ACB	AFR
HG03920	BEB	SAS
NA12329	CEU	EUR
HG03951	STU	SAS
NA12336	CEU	EUR
HG02589	GWD	AFR
HG03963	ITU	SAS
NA12343	CEU	EUR
HG03968	ITU	SAS
NA12348	CEU	EUR
NA12386	CEU	EUR
HG02351	CDX	EAS
NA18521	YRI	AFR
NA12413	CEU	EUR
HG02356	CDX	EAS
NA18526	CHB	EAS
NA12716	CEU	EUR
HG02363	CDX	EAS
NA18533	CHB	EAS
NA12761	CEU	EUR
HG02375	CDX	EAS
NA18538	CHB	EAS
NA18865	YRI	AFR
HG02508	ACB	AFR
NA18545	CHB	EAS
NA18872	YRI	AFR
HG02522	KHV	EAS
NA18552	CHB	EAS
NA18877	YRI	AFR
HG02541	ACB	AFR
NA18557	CHB	EAS
NA18909	YRI	AFR
HG02546	ACB	AFR
NA18564	CHB	EAS
NA18911	YRI	AFR
HG02382	CDX	EAS
NA18571	CHB	EAS
NA18916	YRI	AFR
HG02387	CDX	EAS
NA18576	CHB	EAS
NA18923	YRI	AFR
HG02394	CDX	EAS
NA18595	CHB	EAS
NA18930	YRI	AFR
HG02399	CDX	EAS
NA18603	CHB	EAS
NA18935	YRI	AFR
HG02402	CDX	EAS
NA18608	CHB	EAS
NA18942	JPT	EAS
HG02407	CDX	EAS
NA18610	CHB	EAS
NA18947	JPT	EAS
HG02419	ACB	AFR
NA18615	CHB	EAS
NA18954	JPT	EAS
HG02433	ACB	AFR
NA18622	CHB	EAS
NA18959	JPT	EAS
HG02445	ACB	AFR
NA18627	CHB	EAS
NA18961	JPT	EAS
HG02786	PJL	SAS
NA10863	CEU	EUR
NA18966	JPT	EAS
HG02793	PJL	SAS
NA11830	CEU	EUR
NA18973	JPT	EAS
HG02798	GWD	AFR
NA11892	CEU	EUR
NA18978	JPT	EAS
NA11917	CEU	EUR
NA18980	JPT	EAS
HG02813	GWD	AFR
NA11931	CEU	EUR
NA18985	JPT	EAS
NA11993	CEU	EUR
NA18992	JPT	EAS
HG02820	GWD	AFR
NA12004	CEU	EUR
NA18997	JPT	EAS
HG02837	GWD	AFR
NA12155	CEU	EUR
NA19003	JPT	EAS
HG02851	GWD	AFR
NA12249	CEU	EUR
NA19010	JPT	EAS
HG02983	GWD	AFR
NA12275	CEU	EUR
HG04229	STU	SAS
HG03006	BEB	SAS
NA12282	CEU	EUR
HG03018	PJL	SAS
NA12287	CEU	EUR
NA06985	CEU	EUR
HG03025	GWD	AFR
NA12340	CEU	EUR
NA06997	CEU	EUR
NA12376	CEU	EUR
NA07022	CEU	EUR
HG02870	GWD	AFR
NA12383	CEU	EUR
NA07034	CEU	EUR
HG02882	GWD	AFR
NA12489	CEU	EUR
NA10859	CEU	EUR
HG02887	GWD	AFR
NA12718	CEU	EUR
NA10861	CEU	EUR
HG02938	ESN	AFR
NA12749	CEU	EUR
NA11840	CEU	EUR
NA12751	CEU	EUR
NA12045	CEU	EUR
HG02736	PJL	SAS
NA12763	CEU	EUR
NA12057	CEU	EUR
NA12775	CEU	EUR
NA12146	CEU	EUR
HG02774	PJL	SAS
NA12802	CEU	EUR
NA07349	CEU	EUR
NA12814	CEU	EUR
NA10830	CEU	EUR
NA10835	CEU	EUR
HG03049	GWD	AFR
NA06994	CEU	EUR
NA10842	CEU	EUR
NA07000	CEU	EUR
NA10847	CEU	EUR
HG03063	MSL	AFR
NA07029	CEU	EUR
NA10854	CEU	EUR
NA07031	CEU	EUR
NA19027	LWK	AFR
HG03114	ESN	AFR
NA07048	CEU	EUR
NA19041	LWK	AFR
NA07055	CEU	EUR
NA19046	LWK	AFR
HG03121	ESN	AFR
NA07346	CEU	EUR
NA19058	JPT	EAS
HG03126	ESN	AFR
NA07435	CEU	EUR
NA19060	JPT	EAS
HG02952	ESN	AFR
NA12864	CEU	EUR
NA19065	JPT	EAS
NA12890	CEU	EUR
NA19072	JPT	EAS
NA18487	YRI	AFR
NA19077	JPT	EAS
HG02971	ESN	AFR
NA18499	YRI	AFR
NA19084	JPT	EAS
HG02976	ESN	AFR
NA18502	YRI	AFR
NA19089	JPT	EAS
HG03133	ESN	AFR
NA18507	YRI	AFR
NA19091	JPT	EAS
NA18519	YRI	AFR
NA19705	ASW	AFR
HG03157	ESN	AFR
NA18634	CHB	EAS
NA19712	ASW	AFR
NA18639	CHB	EAS
NA19717	MXL	AMR
HG03082	MSL	AFR
NA18641	CHB	EAS
NA19724	MXL	AMR
HG03099	ESN	AFR
NA18646	CHB	EAS
NA19729	MXL	AMR
HG03234	PJL	SAS
NA18747	CHB	EAS
NA19731	MXL	AMR
HG03239	PJL	SAS
NA18855	YRI	AFR
NA19748	MXL	AMR
HG03241	GWD	AFR
NA18862	YRI	AFR
NA19750	MXL	AMR
HG03246	GWD	AFR
NA18867	YRI	AFR
NA19755	MXL	AMR
HG03258	GWD	AFR
NA18874	YRI	AFR
NA19762	MXL	AMR
NA18879	YRI	AFR
NA19147	YRI	AFR
HG03265	ESN	AFR
NA18881	YRI	AFR
NA19154	YRI	AFR
HG03518	ESN	AFR
NA18906	YRI	AFR
NA19159	YRI	AFR
HG03520	ESN	AFR
NA18913	YRI	AFR
NA19161	YRI	AFR
NA18925	YRI	AFR
NA19166	YRI	AFR
HG03556	MSL	AFR
NA18944	JPT	EAS
NA19173	YRI	AFR
HG03563	MSL	AFR
NA18949	JPT	EAS
NA19185	YRI	AFR
NA18951	JPT	EAS
NA19197	YRI	AFR
HG03479	MSL	AFR
NA18956	JPT	EAS
NA19200	YRI	AFR
HG03486	MSL	AFR
NA18963	JPT	EAS
NA19205	YRI	AFR
NA10837	CEU	EUR
NA19471	LWK	AFR
NA10851	CEU	EUR
NA19654	MXL	AMR
HG03366	ESN	AFR
NA10856	CEU	EUR
NA19659	MXL	AMR
HG04202	ITU	SAS
NA19661	MXL	AMR
HG03378	MSL	AFR
HG04214	ITU	SAS
NA19678	MXL	AMR
HG03380	MSL	AFR
HG04219	ITU	SAS
NA19680	MXL	AMR
HG03385	MSL	AFR
HG04238	ITU	SAS
NA19685	MXL	AMR
HG03169	ESN	AFR
NA19199	YRI	AFR
NA19700	ASW	AFR
HG03171	ESN	AFR
NA19202	YRI	AFR
NA19375	LWK	AFR
NA19207	YRI	AFR
NA19382	LWK	AFR
HG03190	ESN	AFR
NA19214	YRI	AFR
NA19394	LWK	AFR
HG03195	ESN	AFR
NA19221	YRI	AFR
NA19399	LWK	AFR
NA19226	YRI	AFR
NA19438	LWK	AFR
NA19238	YRI	AFR
NA19440	LWK	AFR
HG03311	ESN	AFR
NA19240	YRI	AFR
NA19445	LWK	AFR
HG03342	ESN	AFR
NA19252	YRI	AFR
NA19452	LWK	AFR
HG03354	ESN	AFR
NA19257	YRI	AFR
NA19457	LWK	AFR
NA19308	LWK	AFR
NA19469	LWK	AFR
NA19310	LWK	AFR
NA19224	YRI	AFR
HG03291	ESN	AFR
NA19031	LWK	AFR
NA19236	YRI	AFR
NA19036	LWK	AFR
NA19248	YRI	AFR
HG03304	ESN	AFR
NA19043	LWK	AFR
